"Create repository","创建代码仓库"
"Create a new repository to manage your sources.","创建代码仓库来管理您的资源."
"Repository location","代码仓库位置"
"New repository data","新代码仓库数据"
"Repository name","代码仓库名字"
"Type","类型"
"File System (Recommended)","文件系统(推荐)"
"Berkly DB","Berkly DB"
"Valid signs for repository name are","合法的代码仓库名字为"
"Underscore","下划线"
"Hyphen","连字符"
"No space!","切忌空格!"
"Whether to create a group with the same name of the repository","是否创建同名组"
"Don't create","不创建组"
"Create with Read only","创建组并设权限为只读"
"Create with Read &amp; Write","创建组并设权限为读写"
"Assign permissions after repository created","创建仓库后分配权限"
"Pre-defined repository structure","预定义仓库结构"
"No pre-defined structure","无"
"Single project structure","单项目结构"
"Multi project structure","多项目结构"
"Template","仓库模板"
"Creates the folders 'trunk', 'branches' and 'tags' in the root of the repository.","在仓库根路径创建目录: 'trunk', 'branches', 'tags'."
"Project name","项目名称"
"The folders 'trunk', 'branches' and 'tags' will be created in a subfolder, which is named by the project's name.","在仓库根路径创建项目目录, 然后在其下创建目录: 'trunk', 'branches', 'tags'."
"Administrator can add more repository template","管理员可以增加更多仓库模板"
"Back to overview","后退到代码仓库列表"
